SAMPLE,HAPLOTYPE,CGI_chr1_609358_611269,CGI_chr1_778604_779167,CGI_chr1_827036_828065,CGI_chr1_869818_870248,CGI_chr1_908919_910503,CGI_chr1_919385_919593,CGI_chr1_933952_934964,CGI_chr1_935577_935956,CGI_chr1_936259_936492,CGI_chr1_940225_942983,CGI_chr1_950976_951222,CGI_chr1_976046_979425,CGI_chr1_984346_984547,CGI_chr1_998007_1002030,CGI_chr1_1013290_1013514,CGI_chr1_1013949_1014471,CGI_chr1_1028415_1029127,CGI_chr1_1046772_1047131,CGI_chr1_1048826_1049049,CGI_chr1_1054894_1055314,CGI_chr1_1059056_1059923,CGI_chr1_1080679_1080980,CGI_chr1_1081483_1082059,CGI_chr1_1082719_1083010,CGI_chr1_1084438_1084646,CGI_chr1_1087763_1087967,CGI_chr1_1088695_1089234,CGI_chr1_1090997_1091245,CGI_chr1_1092129_1092350,CGI_chr1_1110664_1110960,CGI_chr1_1115135_1117065,CGI_chr1_1157831_1158096,CGI_chr1_1162663_1165204,CGI_chr1_1173934_1174765,CGI_chr1_1197447_1197838,CGI_chr1_1200980_1201776,CGI_chr1_1206290_1206770,CGI_chr1_1210188_1210498,CGI_chr1_1211328_1211534,CGI_chr1_1213675_1214144,CGI_chr1_1217142_1217754,CGI_chr1_1218404_1219039,CGI_chr1_1222937_1223222,CGI_chr1_1255142_1255419,CGI_chr1_1286017_1294783,CGI_chr1_1296481_1298279,CGI_chr1_1307020_1309805,CGI_chr1_1312606_1313113,CGI_chr1_1318942_1319168,CGI_chr1_1324263_1325255,CGI_chr1_1332055_1333606,CGI_chr1_1336045_1336694,CGI_chr1_1338106_1340460,CGI_chr1_1354327_1355746,CGI_chr1_1387264_1387544,CGI_chr1_1398691_1400222,CGI_chr1_1419779_1420620,CGI_chr1_1426180_1426407,CGI_chr1_1430792_1431014,CGI_chr1_1509208_1509469,CGI_chr1_1529128_1529426,CGI_chr1_1537727_1537962,CGI_chr1_1539582_1541289,CGI_chr1_1561381_1561606,CGI_chr1_1574102_1575367,CGI_chr1_1639975_1640670,CGI_chr1_1645016_1645234,CGI_chr1_1658612_1659481,CGI_chr1_1676459_1676804,CGI_chr1_1739317_1739662,CGI_chr1_1745362_1746894,CGI_chr1_1753934_1754532,CGI_chr1_1760328_1760624,CGI_chr1_1777955_1779143,CGI_chr1_1782200_1782702,CGI_chr1_1908519_1909162,CGI_chr1_1927807_1928084,CGI_chr1_1943276_1943576,CGI_chr1_1944178_1944438,CGI_chr1_1954905_1955431,CGI_chr1_1964975_1965189,CGI_chr1_2049812_2051773,CGI_chr1_2109558_2109863,CGI_chr1_2121722_2124405,CGI_chr1_2132343_2132613,CGI_chr1_2133189_2133740,CGI_chr1_2280581_2282442,CGI_chr1_2290759_2291130,CGI_chr1_2300871_2301178,CGI_chr1_2303869_2304228,CGI_chr1_2305003_2307630,CGI_chr1_2317876_2318195,CGI_chr1_2326658_2326984,CGI_chr1_2327625_2327887,CGI_chr1_2331745_2332031,CGI_chr1_2334568_2334993,CGI_chr1_2344919_2345218,CGI_chr1_2372720_2372937,CGI_chr1_2384914_2385310,CGI_chr1_2402111_2402733
HBCC_81925_FTX,H1,99.19935673,0.0,0.2675,6.5066,59.44170886,90.678125,8.006785714,16.9437037,44.2625,1.31570922,98.36777778,87.34223214,15.77285714,8.438288288,0.21,62.70342857,92.66740741,99.375,94.31684211,97.00321429,0.9100980392,33.4045,97.1845,97.995,99.42,87.26,98.02954545,98.856,94.41111111,73.1268,0.6958937198,2.168,87.725,53.21694915,99.0285,1.624095238,13.84963636,94.1276,98.568125,77.81026316,95.82820513,96.90931818,97.09413793,97.1548,85.05823151,87.88773437,4.755643275,93.10861111,93.15823529,0.1202459016,85.00086207,87.56,93.39448052,22.51360656,98.0552,0.1630538922,11.83300885,37.589,24.65333333,93.11368421,95.98130435,80.73809524,9.457938144,94.64,0.05874251497,93.34195652,71.62541667,0.2258947368,92.33653846,95.73111111,0.1005625,97.91086957,97.35636364,0.636625,7.794666667,2.542179487,89.055,96.3848,10.15333333,97.76488889,89.345,9.299288889,94.95857143,97.63390244,27.7975,3.236666667,99.66993103,1.5688,40.42086957,97.96066667,82.38696078,97.70666667,89.93869565,98.95833333,86.33075,93.90833333,97.495,94.27125,59.13567568,88.13418605
HBCC_81925_FTX,H2,97.30297619,NA,0.1451239669,2.8952,70.23198795,74.5475,7.426373626,3.125925926,24.42684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.25842105,97.79703704,0.5514705882,42.3715,NA,94.27733333,96.01733333,84.66055556,NA,NA,95.97529412,67.6508,NA,NA,NA,41.86542373,98.268,2.310571429,5.641454545,94.5588,NA,NA,NA,94.07477273,NA,92.5804,NA,78.0002,NA,NA,NA,0.2461788618,NA,NA,95.93292208,34.76824176,NA,NA,NA,NA,NA,93.42736842,NA,88.20666667,10.44159794,98.316875,0.1724848485,96.53195652,85.22333333,0.0,86.36296296,NA,NA,96.72166667,98.42636364,0.4657142857,NA,3.176410256,NA,NA,21.21869565,88.22116279,NA,8.781511111,98.44090909,NA,24.132,2.213888889,98.36706667,NA,NA,NA,NA,NA,78.44347826,97.68083333,91.815,97.322,99.125,96.6525,80.955,NA
HBCC_81927_FTX,H1,NA,0.0,0.06941666667,4.6862,67.49345455,76.731875,4.720454545,0.867037037,28.57842105,1.360854093,88.41058824,76.32572727,3.535333333,7.213504464,1.79,56.67171429,94.47944444,99.595,94.17368421,97.42821429,0.6030392157,33.682,92.5645,91.099,97.308,100.0,92.48272727,96.2085,99.44444444,92.8156,1.670531401,8.824,76.40532967,37.19728814,91.43358974,1.927692308,7.59,98.2456,96.115,70.35026316,92.45333333,90.12909091,98.64724138,95.688,87.4717342,88.59717172,4.025714286,92.12694444,87.20777778,0.0956097561,80.75342105,85.3814,93.43175325,63.20923077,98.584,0.2023353293,47.11053097,46.02842105,56.09235294,91.31631579,90.37173913,91.55238095,19.36958549,96.903125,0.1801796407,96.26543478,87.05625,0.2496808511,96.4,93.26692308,0.0480625,97.67043478,98.74909091,0.9192546584,5.335111111,3.171923077,84.54272727,90.3716,10.28652174,82.37454545,76.79882353,9.067831858,98.14173913,96.53655172,27.678,5.308333333,99.22628049,0.9615384615,62.10478261,82.48966667,82.31262136,87.74851852,78.31090909,95.22,94.68275,96.12586207,97.45708333,92.794375,64.83864865,73.76534884
HBCC_81927_FTX,H2,NA,NA,0.1340495868,4.3638,52.33727891,79.99625,12.45565217,7.384814815,27.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.05526316,99.1862963,0.4196078431,8.424,NA,96.273,97.826,96.64947368,NA,NA,99.07388889,91.46863636,NA,NA,NA,26.65396552,99.4155,1.538095238,15.334,96.5104,NA,NA,NA,97.625,NA,96.1396,NA,91.11792079,NA,NA,NA,0.09032520325,NA,NA,95.24607843,63.67456044,NA,NA,NA,NA,NA,79.63578947,NA,89.41619048,15.39360825,96.1425,0.1148795181,98.68695652,84.11291667,0.0,92.31444444,NA,NA,98.71020833,98.10045455,0.5278881988,NA,1.968333333,NA,NA,14.36,91.10977273,NA,9.574115044,97.6,NA,39.308,7.003148148,99.36525547,NA,NA,NA,NA,NA,81.29043478,82.04375,96.16435897,98.99586207,95.15545455,92.90625,75.51432432,NA
HBCC_81928_FTX,H1,97.01993789,0.0,0.0879338843,5.75122449,53.92837838,83.635,8.655454545,9.476296296,35.209,1.71218638,93.97294118,73.734625,11.778,6.857203579,0.0,89.92911765,90.20076923,95.5108,91.21947368,97.99518519,0.4504901961,53.6765,96.22725,99.01133333,96.54866667,97.30166667,97.18863636,98.5455,99.495,92.98478261,0.9449514563,5.1964,89.64564246,58.28754386,96.65775,1.320952381,2.469814815,95.55583333,98.75,69.62756757,92.80933333,99.29636364,100.0,87.3956,78.38482699,91.87078125,5.298157895,93.44861111,92.25823529,0.5159349593,79.47903509,86.05686275,96.80253247,48.96939891,94.104,0.101030303,51.05584071,32.415,23.61823529,99.12263158,97.33869565,84.45761905,7.671340206,97.916875,0.07736526946,96.22866667,88.76375,0.08861702128,93.23592593,94.95740741,0.07763975155,95.89958333,99.04045455,0.15625,10.27977273,2.151025641,91.87681818,98.93875,17.52086957,90.255,86.56176471,8.707079646,98.44565217,97.10982659,74.141,4.937222222,98.35907975,1.282307692,65.17956522,94.79896552,83.49891089,91.04740741,91.07772727,98.26416667,85.74794872,90.22413793,100.0,100.0,75.54,91.39953488
HBCC_81928_FTX,H2,94.31721311,NA,0.0,14.2292,71.85145455,68.559375,11.45105263,10.30481481,25.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.87421053,96.80148148,1.324705882,43.2955,NA,98.31066667,97.61666667,96.26666667,NA,NA,94.65166667,85.032,NA,NA,NA,68.80333333,95.95257143,0.7703846154,2.403333333,96.93458333,NA,NA,NA,87.30954545,NA,98.606,NA,91.58507812,NA,NA,NA,0.2390983607,NA,NA,94.33519481,36.97928962,NA,NA,NA,NA,NA,97.46421053,NA,97.74904762,10.56293814,98.958125,0.0,97.90869565,87.46347826,0.313655914,94.82851852,NA,NA,97.05913043,98.02454545,0.3815,NA,3.04525641,NA,NA,11.76904762,88.91651163,NA,8.814026549,99.00090909,NA,36.8035,4.651481481,96.68210227,NA,NA,NA,NA,NA,71.49954545,97.56958333,97.58325,99.04733333,99.37869565,94.6725,78.65918919,NA
HBCC_81929_FTX,H1,100.0,0.0,0.07512396694,7.9804,58.06384615,94.905625,26.97666667,16.78296296,42.74315789,4.058964286,97.67611111,85.32566372,6.788666667,9.573792325,1.5875,86.36257143,96.16947368,98.67115385,91.50789474,98.55222222,2.663039216,55.77578947,98.75,100.0,100.0,99.24789474,97.88931818,96.25,99.20611111,62.8768,0.7795652174,0.8444,86.9389011,45.18465517,98.8435,1.590761905,17.76090909,97.8032,99.21875,69.95315789,98.46909091,94.8725,99.0762069,95.2392,83.54510467,85.46046875,5.412982456,92.13222222,94.52941176,0.0,81.32491379,88.75333333,96.31707792,25.19874317,99.2668,0.1604191617,8.210353982,59.5045,20.91944444,96.38526316,90.42478261,88.99190476,11.22391753,98.41375,0.1946107784,98.23869565,92.02333333,0.06720430108,90.68333333,94.51423077,0.07763975155,97.12108696,98.59272727,0.7385987261,9.318222222,2.209102564,90.80590909,89.1264,8.352380952,95.92222222,90.91111111,11.73415179,96.88272727,99.14773196,24.5465,3.300185185,99.67479675,0.5716,39.45304348,78.80833333,85.62019512,97.86074074,95.74636364,100.0,99.5,97.996,100.0,97.724375,73.60621622,86.47302326
HBCC_81929_FTX,H2,95.18518519,NA,0.1844166667,7.1094,62.87757812,94.895625,3.282808989,1.058518519,47.39625,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.38888889,95.762,1.283823529,28.6345,NA,98.50933333,99.33333333,98.36526316,NA,NA,98.50777778,61.76434783,NA,NA,NA,41.08016949,98.726,1.12247619,12.55574074,97.966,NA,NA,NA,96.42409091,NA,94.5488,NA,85.1793578,NA,NA,NA,0.3293495935,NA,NA,92.86285714,37.70701657,NA,NA,NA,NA,NA,NA,NA,98.87571429,13.83373057,97.596875,0.1212121212,98.21913043,83.94347826,0.0,96.79592593,NA,NA,94.60104167,98.08090909,0.7731875,NA,2.841923077,NA,NA,16.11304348,99.42755556,NA,8.690707965,92.13681818,NA,29.662,3.304444444,99.3047619,NA,NA,NA,NA,NA,95.985,98.2325,99.383,98.84533333,96.225,99.305625,63.91138889,NA
HBCC_81930_FTX,H1,NA,0.196,0.08196721311,7.3206,47.88835526,73.420625,3.671304348,4.315185185,47.0785,1.025460993,97.85333333,73.29431452,10.86266667,10.16270694,0.0,61.28885714,93.81943396,97.20307692,91.52263158,94.81321429,0.1871568627,7.514,93.20875,96.987,97.55133333,85.40842105,98.6927907,98.9115,99.10444444,83.6,0.9258937198,6.6652,86.00835165,67.63035088,99.063,2.170380952,7.666296296,87.59291667,100.0,83.53184211,91.53636364,98.26651163,91.83821429,95.1708,82.98746753,68.66107527,3.764340176,93.34542857,90.57166667,0.2103252033,81.91017544,87.53979592,92.9187013,26.50153005,99.0544,0.0,34.81380531,38.78894737,39.41176471,93.22473684,97.1873913,87.32666667,8.766752577,96.895625,0.3470481928,98.42866667,93.39125,0.09774193548,65.08,85.03148148,0.104875,98.37291667,98.25772727,0.4753416149,12.52,2.452692308,87.57227273,92.2452,19.96818182,93.58652174,89.47111111,8.155884956,96.95652174,98.91214286,19.465,2.51037037,98.50417647,1.126153846,55.63913043,74.2262069,68.565,98.79740741,88.38954545,98.69541667,99.77275,98.69033333,97.74375,95.57,45.61810811,79.24813953
HBCC_81930_FTX,H2,94.44444444,NA,0.0,6.0106,69.81156627,80.27875,1.236956522,18.39333333,47.38789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.58555556,95.0137931,0.505049505,40.14,NA,98.76233333,98.456,85.37,NA,NA,100.0,82.26173913,NA,NA,NA,42.37830508,99.15175,2.064380952,9.772727273,96.1048,NA,NA,NA,92.33,NA,96.032,NA,87.5736,NA,NA,NA,0.05081300813,NA,NA,92.9412987,52.82461538,NA,NA,NA,NA,NA,97.14294118,NA,75.5247619,8.485876289,98.004375,0.03168674699,98.35630435,85.80791667,0.0,96.86740741,NA,NA,98.32282609,99.54545455,0.958757764,NA,4.158589744,NA,NA,15.01913043,83.18681818,NA,10.9289823,98.16434783,NA,12.5955,2.234444444,97.73092593,NA,NA,NA,NA,NA,87.65545455,97.43916667,79.482,90.73448276,99.09958333,94.001875,68.29837838,NA
